,electrophile,nucleophile,catalyst,base,miser_area_count,max,relative_count
1070,e7,n13,tBuXPHOS Pd G3 42,P2Et 29,1043.0,1043.0000001,0.9999999999041227
1139,e7,n15,AdBrettPhos Pd G3 45,BEMP 27,292.0,700.0000001,0.4171428570832653
1138,e7,n15,AdBrettPhos Pd G3 45,BTMG 26,292.0,700.0000001,0.4171428570832653
1140,e7,n15,AdBrettPhos Pd G3 45,BTTP 28,261.0,700.0000001,0.37285714280387755
1136,e7,n15,AdBrettPhos Pd G3 45,DBU 24,262.0,700.0000001,0.37428571423224494
1137,e7,n15,AdBrettPhos Pd G3 45,MTBD 25,296.0,700.0000001,0.4228571427967347
1141,e7,n15,AdBrettPhos Pd G3 45,P1-t-octyl S17,258.0,700.0000001,0.3685714285187755
1143,e7,n15,AdBrettPhos Pd G3 45,P2-t-Bu S18,288.0,700.0000001,0.41142857136979594
1142,e7,n15,AdBrettPhos Pd G3 45,P2Et 29,261.0,700.0000001,0.37285714280387755
1147,e7,n15,DTBPF Pd G3 38,BEMP 27,301.0,700.0000001,0.42999999993857146
1146,e7,n15,DTBPF Pd G3 38,BTMG 26,298.0,700.0000001,0.4257142856534694
1148,e7,n15,DTBPF Pd G3 38,BTTP 28,391.0,700.0000001,0.5585714284916327
1144,e7,n15,DTBPF Pd G3 38,DBU 24,257.0,700.0000001,0.36714285709040817
1145,e7,n15,DTBPF Pd G3 38,MTBD 25,288.0,700.0000001,0.41142857136979594
1149,e7,n15,DTBPF Pd G3 38,P1-t-octyl S17,374.0,700.0000001,0.5342857142093878
1151,e7,n15,DTBPF Pd G3 38,P2-t-Bu S18,319.0,700.0000001,0.4557142856491837
1150,e7,n15,DTBPF Pd G3 38,P2Et 29,446.0,700.0000001,0.6371428570518368
1131,e7,n15,RockPhos Pd G3 44,BEMP 27,310.0,700.0000001,0.44285714279387756
1130,e7,n15,RockPhos Pd G3 44,BTMG 26,312.0,700.0000001,0.4457142856506123
1132,e7,n15,RockPhos Pd G3 44,BTTP 28,248.0,700.0000001,0.3542857142351021
1128,e7,n15,RockPhos Pd G3 44,DBU 24,276.0,700.0000001,0.3942857142293878
1129,e7,n15,RockPhos Pd G3 44,MTBD 25,362.0,700.0000001,0.5171428570689797
1133,e7,n15,RockPhos Pd G3 44,P1-t-octyl S17,251.0,700.0000001,0.35857142852020407
1135,e7,n15,RockPhos Pd G3 44,P2-t-Bu S18,245.0,700.0000001,0.34999999995000003
1134,e7,n15,RockPhos Pd G3 44,P2Et 29,255.0,700.0000001,0.3642857142336735
1107,e7,n15,Xphos Pd G3 36,BEMP 27,278.0,700.0000001,0.39714285708612246
1106,e7,n15,Xphos Pd G3 36,BTMG 26,261.0,700.0000001,0.37285714280387755
1108,e7,n15,Xphos Pd G3 36,BTTP 28,263.0,700.0000001,0.37571428566061227
1104,e7,n15,Xphos Pd G3 36,DBU 24,268.0,700.0000001,0.382857142802449
1105,e7,n15,Xphos Pd G3 36,MTBD 25,246.0,700.0000001,0.35142857137836736
1109,e7,n15,Xphos Pd G3 36,P1-t-octyl S17,261.0,700.0000001,0.37285714280387755
1111,e7,n15,Xphos Pd G3 36,P2-t-Bu S18,256.0,700.0000001,0.36571428566204084
