,substrate_id,substrate_smiles,condition,Normalized MALDI Pdt/IS,EIC(+)[M+H] Product Area
375,amine376,CC(C)(C)NC(=O)[C@@H]1CNCCN1C[C@H](O)C[C@H](Cc2ccccc2)C(=O)N[C@@H]3[C@H](O)Cc4ccccc34,Ir,0.15,625011.6
376,amine377,Cc1onc(c1)c2nnc3c4ccccc4c(OCc5ccc(nc5)C6(O)CCNCC6)nn23,Ir,0.01,745.2
377,amine378,[R]N1C(=O)N(C2CCNCC2)c3ccc(Cl)cc13,Ir,0.01,74082.4
378,amine379,[R]NC(=O)[C@@H]1CNCCN1S(=O)(=O)[R],Ir,0.11,259372.8
379,amine380,O[C@@]([C@@H]1CCC(F)(F)C1)(C(=O)NCC2CCNCC2)c3ccccc3,Ir,0.37,2020725.3
380,amine381,CCCc1c([nH]c(c2cccc(c2)C(F)(F)F)c1c3ccnc(N[C@@H](C)c4ccccc4)n3)C5CCNCC5,Ir,0.05,226559.4
381,amine382,[R]C1=C(CNCC1)C(=O)N(C)CC(=O)N(C)C,Ir,0.02,192229.4
382,amine383,CSc1ccc(cc1)C2=C(CNCC2)C(=O)NCc3ccc4ccccc4n3,Ir,0.06,117530.4
383,amine384,COC(C(=O)N(C)CCN1C(=O)C=CC=C1N2CCNCC2)c3ccccc3,Ir,0.01,52616.4
192,amine193,CC(C)S(=O)(=O)N1CCNCC1,Pd,1.47,3821140.5
193,amine194,C(c1ccccc1)c2nnc3CNCCn23,Pd,1.4,3397048.1
194,amine195,O=C1CNCC2N1CCc3ccccc23,Pd,1.52,4047496.3
195,amine196,CC1(C)CNCc2nnc(n12)C(F)(F)F,Pd,0.47,3824741.6
196,amine197,C1CO[C@H](CN1)c2ccccc2,Pd,1.76,4937004.6
197,amine198,CC(C)(C)NC(=O)c1nnc2CNCCn12,Pd,0.88,3277518.5
198,amine199,O=C1OC2(CCNCC2)c3ccccc13,Pd,1.29,4368739.4
199,amine200,CC(C)c1nnc2CNCCn12,Pd,1.97,3221147.9
200,amine201,C1CN(CCN1)c2cccs2,Pd,0.12,4125533.2
201,amine202,CC1(C)CN2CCNCC2c3ccccc13,Pd,2.03,4947875.5
202,amine203,CCc1ncc2CNCCn12,Pd,5.35,4820878.8
203,amine204,CC(C)c1ncc2CNCCn12,Pd,5.1,5539425.9
204,amine205,CCOC(=O)C1CNCc2ccccc12,Pd,0.93,2950326.2
205,amine206,CC(C)(O)C1CCCNC1,Pd,1.55,4222031.4
206,amine207,CN(C)CC1(O)CCNCC1,Pd,1.7,3842938.5
207,amine208,C1Cn2ncnc2CN1,Pd,0.93,2718415.4
208,amine209,C([C@@H]1COCCN1)c2ccccc2,Pd,0.0,1415.2
209,amine210,C(OC1CCNCC1)c2ccccn2,Pd,2.93,4973061.6
210,amine211,C(Cc1ccccn1)C2CCCCN2,Pd,0.34,1861260.1
211,amine212,C1NCC2C1C2c3ccccc3,Pd,2.91,4756978.9
212,amine213,C1NCC2COCC1O2,Pd,0.02,35989.1
213,amine214,C(Cc1cccs1)C2CCCCN2,Pd,0.42,1262677.6
214,amine215,CN1CCN[C@H](C1)c2ccccc2,Pd,0.19,2355002.7
215,amine216,C1COC2CCNCC2C1,Pd,1.78,4715304.1
216,amine217,FC(F)(F)COC1CCCNC1,Pd,0.01,2860.0
217,amine218,CC(C)(C)OC(=O)n1cc(CC2CCCCN2)c3ccccc13,Pd,0.02,794712.5
218,amine219,Cc1c(C)c(c(C)c2CCC(C)(C)Oc12)S(=O)(=O)NC(=N)NCC3CCCNC3,Pd,0.21,778009.7
219,amine220,O=C(OCc1ccccc1)N2CC3CC2CN3,Pd,2.28,4513581.2
220,amine221,C(N1CC2CCC1CN2)c3ccccc3,Pd,0.84,2605598.0
221,amine222,C1Cc2c(CN1)snc2Nc3ccccc3,Pd,0.5,3866279.6
222,amine223,Fc1ccc(cc1)N2CCCN(C3CCNCC3)S2(=O)=O,Pd,0.8,3573131.3
223,amine224,FC(F)(F)c1ccc(Oc2cccc(C=C3CCNCC3)c2)nc1,Pd,0.23,1554370.8
224,amine225,CC(C)(C)OC(=O)\N=C/1\NC2(CCNCC2)C(=O)N1c3ccccc3F,Pd,0.01,17728.0
225,amine226,C1Cc2c(CN1)snc2Nc3ccccn3,Pd,0.03,514833.3
226,amine227,[R]\N=C/1\NC2(CCCNC2)C(=O)N1[R],Pd,0.0,29663.6
227,amine228,O=C1N[C@@H]2CNCC[C@@H]2N1C3CCCC3,Pd,0.68,1768731.8
228,amine229,CC(C)C1=CC(=O)N2CCNCC2=N1,Pd,0.38,1326624.6
229,amine230,CN1[C@H]2CCNC[C@H]2N(C1=O)c3ccncc3,Pd,2.9,2843971.6
230,amine231,CCC1=CC(=O)N2CCNCC2=N1,Pd,0.12,445879.4
231,amine232,[R]C1=CC(=O)N2CCNCC2=N1,Pd,0.02,0.0
232,amine233,O=C1C=C(N=C2CNCCN12)c3ccccn3,Pd,0.1,51893.3
233,amine234,[R]C1=CC(=O)N2CCNCC2=N1,Pd,0.02,2481.2
234,amine235,CN1[C@@H]2CNCC[C@@H]2N(C)C1=O,Pd,1.23,3308835.2
235,amine236,[R]OC1=NOC2(CCNCC2)C1,Pd,0.52,1760153.1
236,amine237,[R]N1C(=O)OC(C2CCNCC2)c3ccccc13,Pd,1.26,3387432.8
237,amine238,[R]NC(=O)C1=NOC2(CCNCC2)C1,Pd,0.99,2770017.6
238,amine239,[R]OC(=O)c1nnn(C2CCNCC2)c1[R],Pd,0.1,3047335.4
239,amine240,[R]\N=C/1\NC([R])C(=O)N1C2CCNCC2,Pd,0.02,675054.5
240,amine241,[O-][N+](=O)c1ccc(cc1)S(=O)(=O)NC(COc2ccccc2)CN3CCNCC3,Pd,0.03,0.0
241,amine242,CC(CN1CCNCC1)NS(=O)(=O)c2ccccc2[N+](=O)[O-],Pd,0.46,3022222.1
242,amine243,COC1=NO[C@@]2(C)CCNC[C@@H]12,Pd,1.39,4068721.1
243,amine244,O=C1OC2(CCC3(CC2)OCCO3)C4CNCCN14,Pd,0.48,932044.4
244,amine245,COC(=O)[C@@H]1CNC[C@@H](C1)c2cccc(c2)C(F)(F)F,Pd,0.01,3530.4
245,amine246,CN1OC[C@@H]2CNCC[C@]12c3ccccc3,Pd,1.13,3950333.6
246,amine247,[R]NC(=O)c1nnn([R])c1C2CCNCC2,Pd,0.19,895573.5
247,amine248,[R]N([R])C(=O)c1nnn([R])c1C2CCNCC2,Pd,1.45,3622310.5
248,amine249,[R]NC(=O)c1nnn([R])c1C2CCNCC2,Pd,0.36,2152977.6
249,amine250,[R]NC(=O)c1nnn([R])c1C2CCNCC2,Pd,0.06,433800.7
250,amine251,COC(=O)C1CN(CCN1)c2ccc3ccccc3c2,Pd,0.02,4608.8
251,amine252,FC(F)(C(=O)N1CCNCC1)c2ccccc2,Pd,0.98,4648885.6
252,amine253,[R]Nc1nc2c(O[R])cccc2c3nc(nn13)C4CCCNC4,Pd,0.0,4630.8
253,amine254,[R]N1C(=O)OC(C2CCNCC2)c3ccccc13,Pd,0.45,3166038.4
254,amine255,[R]N1C(=O)CCCC12CCNCC2,Pd,0.39,3621223.1
