,electrophile_id,ligand_name,yield
636,s28,CX-PCy,60.57
637,s28,CX-FBu,32.52
638,s28,PPh2Cy,61.11
639,s28,P(p-F-Ph)3,62.36
640,s28,PCy3 HBF4,19.6
641,s28,Cy-vBRIDP,31.03
642,s28,P(o-Anis)3,26.08
643,s28,PPh3,60.33
644,s29,Cy-JohnPhos,78.65
645,s29,Ph-SPhos,27.82
646,s29,Cy-BippyPhos,73.13
647,s29,MeO-KITPHOS,41.7
648,s29,MePhos,51.13
649,s29,Kwong,69.29
650,s29,Cy-PhenCar-Phos,76.38
651,s29,Ph-XPhos,14.74
652,s29,VPhos,35.65
653,s29,Ph-DavePhos,38.08
654,s29,PPhtBu2,2.62
655,s29,P(p-Anis)3,11.72
656,s29,A-paPhos,11.35
657,s29,PXy3,15.67
658,s29,PMe3 HBF4,2.4
659,s29,CX-PCy,26.73
660,s29,CX-FBu,27.82
661,s29,PPh2Cy,33.01
662,s29,P(p-F-Ph)3,13.46
663,s29,PCy3 HBF4,10.0
664,s29,Cy-vBRIDP,10.24
665,s29,P(o-Anis)3,17.07
666,s29,PPh3,14.51
667,s30,Cy-JohnPhos,66.37
668,s30,Ph-SPhos,23.14
669,s30,Cy-BippyPhos,61.4
670,s30,MeO-KITPHOS,17.87
671,s30,MePhos,55.37
672,s30,Kwong,56.15
673,s30,Cy-PhenCar-Phos,78.18
674,s30,Ph-XPhos,22.29
675,s30,VPhos,34.95
676,s30,Ph-DavePhos,29.51
677,s30,PPhtBu2,1.84
678,s30,P(p-Anis)3,11.91
679,s30,A-paPhos,12.78
680,s30,PXy3,19.02
681,s30,PMe3 HBF4,1.9
682,s30,CX-PCy,21.68
683,s30,CX-FBu,21.87
684,s30,PPh2Cy,28.32
685,s30,P(p-F-Ph)3,15.4
686,s30,PCy3 HBF4,8.16
687,s30,Cy-vBRIDP,12.72
688,s30,P(o-Anis)3,17.44
689,s30,PPh3,11.25
690,s31,Cy-JohnPhos,88.75530699620512
691,s31,Ph-SPhos,79.31989685705946
692,s31,Cy-BippyPhos,90.148454801985
693,s31,MeO-KITPHOS,63.986224579157344
694,s31,MePhos,75.38470662644741
695,s31,Kwong,88.14919723654764
696,s31,Cy-PhenCar-Phos,89.13525639778146
697,s31,Ph-XPhos,54.76792838376958
698,s31,VPhos,73.19547436022187
699,s31,Ph-DavePhos,76.40695144497421
700,s31,PPhtBu2,7.03
701,s31,P(p-Anis)3,81.25582952223411
