,substrate_id,substrate_smiles,condition,Normalized MALDI Pdt/IS,EIC(+)[M+H] Product Area
38,bromide39,Brc1cnc2occc2c1,Ir,0.05,2150389.1
39,bromide40,Brc1ccc2cnnn2c1,Ir,0.21,2407024.1
40,bromide41,Brc1cnc2oncc2c1,Ir,0.02,23517.7
41,bromide42,Brc1ccn2ncnc2n1,Ir,0.78,2900098.0
42,bromide43,CC(O)c1ccc(Br)cn1,Ir,0.02,24094.4
43,bromide44,CNC(=O)c1cc(Br)c[nH]1,Ir,0.01,0.0
44,bromide45,COC(=O)c1cc(Br)c[nH]1,Ir,0.01,3459.7
45,bromide46,COC(=O)c1[nH]ncc1Br,Ir,0.0,1808.7
46,bromide47,COC(=O)c1nc[nH]c1Br,Ir,0.01,2257.8
47,bromide48,CC(=O)c1cc(Br)cs1,Ir,0.07,794958.5
48,bromide49,COC(=O)c1[nH]nnc1Br,Ir,0.0,0.0
49,bromide50,Brc1cncc2ccccc12,Ir,1.12,3701613.9
50,bromide51,Brc1nccc2ccccc12,Ir,3.93,93251.1
51,bromide52,Brc1cc2ccccc2cn1,Ir,0.05,513340.8
52,bromide53,Brc1ccc2ccccc2n1,Ir,1.84,3682817.7
53,bromide54,Brc1ccnc2ccccc12,Ir,1.58,3533155.9
54,bromide55,Brc1cnc2ccccc2c1,Ir,0.68,3837883.9
55,bromide56,Brc1cnc2ncccc2c1,Ir,0.1,233000.7
56,bromide57,Brc1cnc2CCCCc2c1,Ir,0.6,1766511.8
57,bromide58,FC(F)(F)c1n[nH]cc1Br,Ir,0.01,3521.5
58,bromide59,CNC(=O)c1ccc(Br)cn1,Ir,0.15,1903553.9
59,bromide60,CC(=O)Nc1ccc(Br)cn1,Ir,0.51,2101122.5
60,bromide61,CC(C)Nc1cc(Br)ccn1,Ir,1.88,4524878.9
61,bromide62,COC(=O)c1ncccc1Br,Ir,0.04,1403163.6
62,bromide63,COC(=O)c1cc(Br)ccn1,Ir,1.4,3161502.4
63,bromide64,COC(=O)c1ccc(Br)cn1,Ir,0.8,2862038.1
64,bromide65,O[C@H](Cn1cc(Br)cn1)C=C,Ir,0.0,6798.9
65,bromide66,Brc1noc(n1)c2ccccc2,Ir,0.0,0.0
66,bromide67,Brc1ccccc1c2nnn[nH]2,Ir,0.08,7693.4
67,bromide68,OC(=O)CCc1ccc(Br)nc1,Ir,0.1,1888022.6
68,bromide69,COc1cc(Br)cnc1C(=O)O,Ir,0.01,46322.6
69,bromide70,OC(=O)CNc1ccnc(Br)n1,Ir,0.03,143405.1
70,bromide71,COc1ccc(Br)nc1[N+](=O)[O-],Ir,0.0,124889.3
71,bromide72,Brc1cccc(n1)c2ccccc2,Ir,0.18,1802553.7
