ligand,id,can_smiles,smiles,formula,mw,atomcount,merckid,cas_pr3,cas_pr3_hx,cas_conj_acid,SIGMA STRUCTURE_ID,SIGMA CAT_NO,Fey-LKB (Paper)
P(O-4OMe-Ph)3,384.0,COc1ccc(OP(Oc2ccc(OC)cc2)Oc2ccc(OC)cc2)cc1,COc1ccc(OP(Oc2ccc(OC)cc2)Oc3ccc(OC)cc3)cc1,C21H21O6P,400.0,49.0,,19909-81-0,,,,,LKB234
P(O-4F-Ph)3,385.0,Fc1ccc(OP(Oc2ccc(F)cc2)Oc2ccc(F)cc2)cc1,Fc1ccc(OP(Oc2ccc(F)cc2)Oc3ccc(F)cc3)cc1,C18H12F3O3P,364.0,37.0,,350-71-0,,,,,
P(O-4I-Ph)3,386.0,Ic1ccc(OP(Oc2ccc(I)cc2)Oc2ccc(I)cc2)cc1,Ic1ccc(OP(Oc2ccc(I)cc2)Oc3ccc(I)cc3)cc1,C18H12I3O3P,688.0,37.0,,517918-94-4,,,,,
P(OMe)(OPh)2,387.0,COP(Oc1ccccc1)Oc1ccccc1,COP(Oc1ccccc1)Oc2ccccc2,C13H13O3P,248.0,30.0,,3577-87-5,,,28830129,,
P(OnBu)2(OPh),388.0,CCCCOP(OCCCC)Oc1ccccc1,CCCCOP(Oc1ccccc1)OCCCC,C14H23O3P,270.0,41.0,,3266-57-7,,,70495753,,
P(O-4Me-Ph)3,389.0,Cc1ccc(OP(Oc2ccc(C)cc2)Oc2ccc(C)cc2)cc1,Cc1ccc(OP(Oc2ccc(C)cc2)Oc3ccc(C)cc3)cc1,C21H21O3P,352.0,46.0,,620-42-8,,,28778025,,LKB233
PhAZ-Phos,390.0,c1ccc(-c2ccc(-c3ccccc3P(c3ccccc3)c3ccccc3)cc2)cc1,c1(P(c2ccccc2c3ccc(c4ccccc4)cc3)c5ccccc5)ccccc1,C30H23P,414.0,54.0,,2080406-04-6,,,,,
MePhosphatrioxabicyclooctane,391.0,CC12COP(OC1)OC2,CC1(CO2)COP2OC1,C5H9O3P,148.0,18.0,,1449-91-8,,53098-60-5,,,LKB288
PPh(4-NMe2-Ph)2,392.0,CN(C)c1ccc(P(c2ccccc2)c2ccc(N(C)C)cc2)cc1,CN(c1ccc(P(c2ccc(N(C)C)cc2)c3ccccc3)cc1)C,C22H25N2P,348.0,50.0,,1100-11-4,,,,,
PPhoTol2,393.0,Cc1ccccc1P(c1ccccc1)c1ccccc1C,Cc1ccccc1P(c2ccccc2)c3c(C)cccc3,C20H19P,290.0,40.0,,18803-09-3,,61249-05-6,,,LKB95
P(OoTol)3,394.0,Cc1ccccc1OP(Oc1ccccc1C)Oc1ccccc1C,Cc1ccccc1OP(Oc2c(C)cccc2)Oc3c(C)cccc3,C21H21O3P,352.0,46.0,,2622-08-4,,,34700137,,LKB232
P(OmTol)3,395.0,Cc1cccc(OP(Oc2cccc(C)c2)Oc2cccc(C)c2)c1,Cc1cccc(OP(Oc2cc(C)ccc2)Oc3cc(C)ccc3)c1,C21H21O3P,352.0,46.0,,620-38-2,,,,,
PPh Phosphirane,396.0,c1ccc(P2CC2)cc1,P1(C2=CC=CC=C2)CC1,C8H9P,136.0,18.0,,22846-16-8,,,,,
PPh Phosphetane,397.0,c1ccc(P2CCC2)cc1,P1(C2=CC=CC=C2)CCC1,C9H11P,150.0,21.0,,142599-70-0,,,,,
PPh Phospholane,398.0,c1ccc(P2CCCC2)cc1,P2(CCCC2)c1ccccc1,C10H13P,164.0,24.0,,3302-87-2,,,28786424,,LKB125
PPh Phosphinane,399.0,c1ccc(P2CCCCC2)cc1,P2(CCCCC2)c1ccccc1,C11H15P,178.0,27.0,,3302-83-8,,,28863470,,LKB138
"endo PPh,NTs Azaphosphabicycloheptane",400.0,Cc1ccc(S(=O)(=O)N2C[C@@H]3C[C@H]2C[P@@]3c2ccccc2)cc1,O=S(N1C[C@@]2([H])[P@@](c3ccccc3)C[C@]1([H])C2)(c4ccc(C)cc4)=O,C18H20NO2PS,345.0,43.0,,1591861-38-9,,,"428075104, 454668205",,
"exo PPh,NTs Azaphosphabicycloheptane",401.0,Cc1ccc(S(=O)(=O)N2C[C@@H]3C[C@H]2C[P@]3c2ccccc2)cc1,O=S(N1C[C@@]2([H])[P@](c3ccccc3)C[C@]1([H])C2)(c4ccc(C)cc4)=O,C18H20NO2PS,345.0,43.0,,1621906-60-2,,,"428075104, 454668205",,
"endo P(4-OMe-Ph),NTs Azaphosphabicycloheptane",402.0,COc1ccc([P@@]2C[C@@H]3C[C@H]2CN3S(=O)(=O)c2ccc(C)cc2)cc1,O=S(N1C[C@@]2([H])[P@@](c3ccc(OC)cc3)C[C@]1([H])C2)(c4ccc(C)cc4)=O,C19H22NO3PS,375.0,47.0,,1883493-01-3,,,"428075106, 464945134",,
"exo P(4-OMe-Ph),NTs Azaphosphabicycloheptane",403.0,COc1ccc([P@]2C[C@@H]3C[C@H]2CN3S(=O)(=O)c2ccc(C)cc2)cc1,O=S(N1C[C@@]2([H])[P@](c3ccc(OC)cc3)C[C@]1([H])C2)(c4ccc(C)cc4)=O,C19H22NO3PS,375.0,47.0,,1975180-37-0,,,"428075106, 464945134",,
"endo P(4-F-Ph),NTs Azaphosphabicycloheptane",404.0,Cc1ccc(S(=O)(=O)N2C[C@@H]3C[C@H]2C[P@]3c2ccc(F)cc2)cc1,O=S(N1C[C@]2([P@](C[C@@]1(C2)[H])c3ccc(F)cc3)[H])(c4ccc(C)cc4)=O,C18H19FNO2PS,363.0,43.0,,1883493-04-6,,,"428075105, 457527278",,
"exo P(4-F-Ph),NTs Azaphosphabicycloheptane",405.0,Cc1ccc(S(=O)(=O)N2C[C@@H]3C[C@H]2C[P@@]3c2ccc(F)cc2)cc1,O=S(N1C[C@]2([P@@](C[C@@]1(C2)[H])c3ccc(F)cc3)[H])(c4ccc(C)cc4)=O,C18H19FNO2PS,363.0,43.0,,1975180-38-1,,,"428075105, 457527278",,
