,ligand_name,ligand_smiles,electrophile_name,electrophile_id,electrophile_smiles,nucleophile_name,nucleophile_id,nucleophile_smiles,product_smiles,yield
139,PCy3 HBF4,C1(P(C2CCCCC2)C3CCCCC3)CCCCC1,1-Benzyl-5-bromo-1H-indole,e9,Brc1ccc2c(ccn2Cc2ccccc2)c1,1-Isopropylimidazole,nB,CC(C)n1ccnc1,CC(C)n1cncc1-c1ccc2c(ccn2Cc2ccccc2)c1,5.79
140,CgMe-PPh,CC12CC3(C)OC(C)(CC(C)(O1)P3c1ccccc1)O2,1-Benzyl-5-bromo-1H-indole,e9,Brc1ccc2c(ccn2Cc2ccccc2)c1,1-Isopropylimidazole,nB,CC(C)n1ccnc1,CC(C)n1cncc1-c1ccc2c(ccn2Cc2ccccc2)c1,15.49
141,PPh3,c1ccc(P(c2ccccc2)c2ccccc2)cc1,1-Benzyl-5-bromo-1H-indole,e9,Brc1ccc2c(ccn2Cc2ccccc2)c1,1-Isopropylimidazole,nB,CC(C)n1ccnc1,CC(C)n1cncc1-c1ccc2c(ccn2Cc2ccccc2)c1,7.08
142,X-Phos,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,1-Benzyl-5-bromo-1H-indole,e9,Brc1ccc2c(ccn2Cc2ccccc2)c1,1-Isopropylimidazole,nB,CC(C)n1ccnc1,CC(C)n1cncc1-c1ccc2c(ccn2Cc2ccccc2)c1,14.41
143,PnBu3 HBF4,CCCCP(CCCC)CCCC,1-Benzyl-5-bromo-1H-indole,e9,Brc1ccc2c(ccn2Cc2ccccc2)c1,1-Isopropylimidazole,nB,CC(C)n1ccnc1,CC(C)n1cncc1-c1ccc2c(ccn2Cc2ccccc2)c1,4.78
144,A-caPhos,CN(C)c1ccc(P(C2CCCCC2)C2CCCCC2)cc1,Ethyl 4-bromo-1-ethylpyrrole-2-carboxylate,e1,CCOC(=O)c1cc(Br)cn1CC,1-Methyl-1H-imidazole-4-carbonitrile,nC,Cn1cnc(C#N)c1,CCOC(=O)c1cc(-c2c(C#N)ncn2C)cn1CC,10.35
146,CX-FBu,CCCCC1(c2c(c3c1cccc3)cccc2)P(C4CCCCC4)C5CCCCC5,Ethyl 4-bromo-1-ethylpyrrole-2-carboxylate,e1,CCOC(=O)c1cc(Br)cn1CC,1-Methyl-1H-imidazole-4-carbonitrile,nC,Cn1cnc(C#N)c1,CCOC(=O)c1cc(-c2c(C#N)ncn2C)cn1CC,0.0
150,Kwong,c1ccc(-c2cc3ccccc3n2P(C2CCCCC2)C2CCCCC2)cc1,Ethyl 4-bromo-1-ethylpyrrole-2-carboxylate,e1,CCOC(=O)c1cc(Br)cn1CC,1-Methyl-1H-imidazole-4-carbonitrile,nC,Cn1cnc(C#N)c1,CCOC(=O)c1cc(-c2c(C#N)ncn2C)cn1CC,0.0
152,P(o-Anis)3,COc1ccccc1P(c1ccccc1OC)c1ccccc1OC,Ethyl 4-bromo-1-ethylpyrrole-2-carboxylate,e1,CCOC(=O)c1cc(Br)cn1CC,1-Methyl-1H-imidazole-4-carbonitrile,nC,Cn1cnc(C#N)c1,CCOC(=O)c1cc(-c2c(C#N)ncn2C)cn1CC,26.49
155,"P(3,5-CF3-Ph)3",FC(F)(F)c1cc(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,Ethyl 4-bromo-1-ethylpyrrole-2-carboxylate,e1,CCOC(=O)c1cc(Br)cn1CC,1-Methyl-1H-imidazole-4-carbonitrile,nC,Cn1cnc(C#N)c1,CCOC(=O)c1cc(-c2c(C#N)ncn2C)cn1CC,1.62
